season,conference,adj_off_eff,adj_def_eff,adj_tempo,eff_diff
2018,ACC,116.426,101.294,71.3548,15.132000000000005
2017,B10,116.585,101.442,68.2292,15.143
2019,ASun,110.008,96.7669,72.8608,13.241099999999989
2016,Ivy,109.51,95.6837,65.9753,13.826300000000003
2022,P12,108.286,94.9848,66.1115,13.301199999999994
2017,ACC,115.903,100.015,66.2751,15.888000000000005
2021,A10,110.95,95.4057,67.7794,15.544300000000007
2021,ACC,110.048,94.8276,66.1503,15.220399999999998
2018,CUSA,113.624,101.073,68.7476,12.551000000000002
2015,ACC,112.412,98.0858,61.7649,14.3262
2019,B10,110.671,96.2136,67.4509,14.457400000000007
2019,B10,112.577,97.048,66.2714,15.528999999999996
2025,B10,114.66,101.013,69.8432,13.646999999999991
2024,SEC,114.702,99.6458,62.8797,15.056200000000004
2016,ACC,112.915,98.9417,63.6755,13.973300000000009
2021,BE,110.358,95.5377,66.7711,14.820300000000003
2017,B10,113.565,98.7271,67.0658,14.837900000000005
2025,B10,116.635,103.678,68.189,12.957000000000008
2016,MWC,104.472,90.3774,64.7287,14.0946
